cakavski,stokavski
kumpanjon,"partner, ortak"
kumpar,kum
kumparit,uspoređivati
kunbasica,kobasica
kuneštra,košara ispletena od šiblja (vrbe) koja se najčešće koristila pri berbi grožđa i ostalog voća
kunfin,granica
kunjado,šurjak
kunjera,drveni ili željezni klin kojim se cijepe drva
kunšerva,"konzerva, koncentrat rajčice"
kuntati,pjevati
kuntenat,razveseliti se
kuntenta,zadovoljna
kuntrat,ugovor
kup,"malo brdo, hrpa"
kurijera,autobus
kurijožno,znatiželjno
kurioz,znatiželjan
kurjera,autobus
kuron,"zemljani rubnik, obrastao travom, kod lijeha oblikovanih stepenasto"
kus,"komad, dio"
kuš,kadulja
"kušćer, kušćerica","gušter, gušterica"
kušet,bedro
kušin,jastuk
kušinelnica,jastučnica
kužina,kuhinja
kvarat,mjera za ulje u tošu
kvas,kvasac
kvasina,ocat
kvatri,kod katolika post o početku svakog godišnjeg doba
kvilit,cviliti
labor,posebna zamka za ptice s kamenom pločom
lac,"zamka za divljač od žice, užeta i sl., omča"
lačan,gladan
ladonja,koprivić
lagje,lakše
lahko,"lako, lagano"
laloka,desni
lamarin,lim
lambik,kotao za kuhanje rakije
lampa,"svjetiljka, bljesak"
lampadina,"električna žarulja, ručna lampa na bateriju"
lampat,sijevati
lancun,plahta
lane,prošlo ljeto
"lanpa, lanpat","svjetiljka, sjevati"
lanterna,svjetionik
lantri,prozorska krila
largevati se,odalečiti se
lašći,sjaji
lašći,sjaji
laškat,"popustiti stisak, uže i sl."
lašno,gladno
laštika,lastika
laštikača,puška za podvodni ribolov na lastiku
lata,"lim, limena posuda"
lavabo,umivaonik
lavaman,lavor
lavatojo,"perilo, mjesto za ispiranje rublja"
lazanji,"lazanje, domaća široka tjestenina"
lazno,vrijeme
leći će pu,leći će pokraj
ledenice,viseći led u obliku sige
leha,"lijeha, polje"
lehi,njive
lej,lijevak
lejić,mali lijevak
lemuncin,limun
lepo,lijepo
lepota,ljepota
Leprinac,Veprinac
leroj,sat
lesa,sušilo za sušenje smokve
lesica,lisica
lešina,livada
lešnjak,"lijeska, plod lijeske"
"let, levat","liti, ljevati"
letina,urod
leto,godina
leto,ljeto
letričar,električar
letrika,električna struja
letvo,"dijetlo, alatka za obradu drva"
levant,"vrsta vjetra, istočnjak"
ležišće,"ležaj, ležište"
libar,knjiga
limat,trljati
limozina,"milodar, dobrovoljni prilog kod mise"
lišo,"1. bez posljedica ili peripetija (npr. pasat lišo), 2. karta bez punata (bodova)"
lito,ljeto
litrat,"slika, fotografija"
lizalka,lizaljka
Ljuško,tuđe
lojnica,svijetiljka na loj
lokarda,"skuša, vrsta plave morske ribe"
lokić,gljiva
lonac,veće kuhinjsko suđe
lončić,malo kuhinjsko suđe
lopar,drveni predmet sličan lopati za stavljanje tijesta u peć ili u ognjište
loparda,"sak, podmetač, okrugla mrežica na dršci za loviti ribu"
lopatat,raditi sa lopatom
lopran,zrakoplov
lotrina,vjeronauk
lovčar,lovac
lovnica,plast sijena
lučić,mali luk
lulat,"ljuljati, njihati"
lulat se,ljuljati se
lumber,lovor
lumbrela,kišobran
lumeta,zidna svjetiljka na ulje
luna,mjesec
"lunbrela, lumbrela",kišobran
lungomare,šetnica duž obale
luštrat,glancat
luštrin,dugi zlatni lančić
lutrina,vjeronauk
lužerna,posuda ispod preše u koju cijedi ulje
"lužit, lužilo",pranje bijelog rublja na poseban način
ma,ali
ma ke,"uzrečica, negacija"
maća,mrlja
"maca, macola",veliki bat
madir,drvena oplata broda
"maeštal, majestral","maestral, vjetar"
maganja,nedostatak
maganjan,oštećen
